,PSO,GA,DE
0,-578.1384587502658,-959.6406627204803,-959.640662700187
1,-802.9330318771864,-888.9491233192362,-959.6406627201209
2,-801.3599286141812,-959.6406627208298,-959.640661761428
3,-740.0894121200014,-888.9491187924275,-959.640662617006
4,-916.1725036193842,-959.6406627207796,-959.6406625442548
5,-826.623333107839,-894.5789003267755,-959.6406627205085
6,-838.0677294597907,-959.6406627195548,-959.6406625648885
7,-791.3158714976328,-894.5788997744721,-959.6406626919993
8,-858.3232152505686,-959.640662714922,-959.640662716082
9,-864.4968071218402,-956.9182282379188,-959.6406623281057
10,-806.8104396103154,-821.1964610656873,-959.6406565549121
11,-621.9053340837401,-959.6406627207527,-959.640662718002
12,-749.9969607490581,-935.3379487506697,-959.6406624721078
13,-868.4282885895844,-894.5788929899181,-894.5784061997762
14,-956.1415959928545,-959.6406627207225,-894.5788926036546
15,-830.1320574380311,-959.6406627196004,-959.6406627205226
16,-895.2891532360206,-935.3379431084684,-959.6406627199365
17,-824.78294717208,-959.6406627192284,-959.6406627168681
18,-893.419280966863,-888.9491240149823,-959.6406626781783
19,-918.614913710825,-959.6406627196379,-959.6406576317145
